policy_id,primary_url,all_urls
"34141","http://www.town.sekigahara.gifu.jp/item/6700.htm#itemid6700","http://www.town.sekigahara.gifu.jp/item/6700.htm#itemid6700 | https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fwww.town.sekigahara.gifu.jp%2Fsecure%2F6700%2F%25E9%2596%25A2%25E3%2582%25B1%25E5%258E%259F%25E7%2594%25BA%25E5%25A4%25AA%25E9%2599%25BD%25E5%2585%2589%25E7%2599%25BA%25E9%259B%25BB%25E8%25A8%25AD%25E5%2582%2599%25E7%25AD%2589%25E8%25A8%25AD%25E7%25BD%25AE%25E8%25B2%25BB%25E8%25A3%259C%25E5%258A%25A9%25E9%2587%2591%25E4%25BA%25A4%25E4%25BB%2598%25E8%25A6%2581%25E7%25B6%25B1.docx&wdOrigin=BROWSELINK"
"34157","https://www.city.nishiwaki.lg.jp/kakukanogoannai/fukushibu/fukushisoumuka/seikatukonkyu/25596.html","https://www.city.nishiwaki.lg.jp/kakukanogoannai/fukushibu/fukushisoumuka/seikatukonkyu/25596.html"
"34165","https://www.city.hida.gifu.jp/soshiki/30/40059.html","https://www.city.hida.gifu.jp/soshiki/30/40059.html"
"34196","https://www.pref.ishikawa.lg.jp/roudou/ilac/koutuuhi.html","https://www.pref.ishikawa.lg.jp/roudou/ilac/koutuuhi.html"
"34181","https://www.city.settsu.osaka.jp/soshiki/jisedaiikuseibu/kosodateshienka/mimamori/19840.html","https://www.city.settsu.osaka.jp/soshiki/jisedaiikuseibu/kosodateshienka/mimamori/19840.html | https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.city.settsu.osaka.jp%2Fmaterial%2Ffiles%2Fgroup%2F20%2Fkodomosyokudo11.doc&wdOrigin=BROWSELINK"
"34215","https://www.town.wassamu.hokkaido.jp/industrial-development/2022/07/01/tyuusyoukigyou-keieikibannkyouka/","https://www.town.wassamu.hokkaido.jp/industrial-development/2022/07/01/tyuusyoukigyou-keieikibannkyouka/"
"34242","https://www.city.kashiwazaki.lg.jp/soshikiichiran/sangyoshinkobu/noseika/yugaichojutaisaku/32752.html","https://www.city.kashiwazaki.lg.jp/soshikiichiran/sangyoshinkobu/noseika/yugaichojutaisaku/32752.html"
"34286","https://www.town.aya.miyazaki.jp/soshiki/sougouseisakuka/6011.html","https://www.town.aya.miyazaki.jp/soshiki/sougouseisakuka/6011.html"
"34264","https://www.pref.aichi.jp/uploaded/attachment/427962.pdf","https://www.pref.aichi.jp/press-release/happyou-r4-ten-in-kouhukin.html | https://www.pref.aichi.jp/uploaded/attachment/427962.pdf"
"34332","https://www.pref.tottori.lg.jp/secure/1277301/ychojyo_zenbun.pdf","http://www.pref.tottori.lg.jp/item/1277301.htm#itemid1277301 | https://www.pref.tottori.lg.jp/secure/1277301/ychojyo_zenbun.pdf"
"34328","https://www.town.tonosho.kagawa.jp/material/files/group/2/youkou.pdf","https://www.town.tonosho.kagawa.jp/gyosei/soshiki/kikaku/1/2186.html | https://www.town.tonosho.kagawa.jp/material/files/group/2/youkou.pdf"
"34333","https://www.city.hanamaki.iwate.jp/_res/projects/default_project/_page_/001/014/171/syuusei0507.pdf","https://www.city.hanamaki.iwate.jp/shisei/shisei/keikaku/1002806/1014171.html | https://www.city.hanamaki.iwate.jp/_res/projects/default_project/_page_/001/014/171/syuusei0507.pdf"
"34352","https://www.city.aioi.lg.jp/soshiki/chiikishinko/syogakukin.html","https://www.city.aioi.lg.jp/soshiki/chiikishinko/syogakukin.html"
