policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"83855","https://j-izumi.com/policy/83855/detail","防犯灯設置費等補助金","","","","","3万2千円","★☆☆☆☆","要相談","要相談","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#bouhantou","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#bouhantou",""
"83857","https://j-izumi.com/policy/83857/detail","公会堂整備事業費補助金","","","","","1440万円","★★★★☆","要相談","要相談","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#koukaidou","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#koukaidou",""
"83859","https://j-izumi.com/policy/83859/detail","ポスター等掲示場設置事業費補助金","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#posuta","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#posuta",""
"83861","https://j-izumi.com/policy/83861/detail","環境美化使用車両補助金（河川等の清掃土砂運搬）","","","","","2000円/台","★☆☆☆☆","要相談","要相談","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#syaryou","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#syaryou",""
"83863","https://j-izumi.com/policy/83863/detail","ごみ減量資源化推進事業奨励金","","","","","2円/kg","★☆☆☆☆","要相談","要相談","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#gomigenryo","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#gomigenryo",""
"83865","https://j-izumi.com/policy/83865/detail","河川愛護事業費補助金","","","","","80万円","★☆☆☆☆","要相談","要相談","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#gomigenryo","https://www.city.shimada.shizuoka.jp/kurashi-docs/hojyokin.html#gomigenryo",""
"83867","https://j-izumi.com/policy/83867/detail","人材確保等支援助成金（作業員宿舎等設置助成コース（建設分野）（女性専用作業員施設設置経費助成））","","","","","90万円/年","★☆☆☆☆","要相談","要相談","https://www.mhlw.go.jp/content/11600000/001233797.pdf","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/kensetsu-kouwan/kensetsu-kaizen.html | https://www.mhlw.go.jp/content/11600000/001233797.pdf",""
"83869","https://j-izumi.com/policy/83869/detail","人材確保等支援助成金（作業員宿舎等設置助成コース（建設分野）（訓練施設等設置経費助成））（対象：広域的職業訓練法人）","","","","","3億円","★★★★★","要相談","要相談","https://www.mhlw.go.jp/content/11600000/001468756.pdf","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/kensetsu-kouwan/kensetsu-kaizen.html | https://www.mhlw.go.jp/content/11600000/001468756.pdf | https://www.mhlw.go.jp/content/11600000/001455534.pdf",""
"83876","https://j-izumi.com/policy/83876/detail","古紙等資源集団回収奨励金","","","","","5円/kg","★☆☆☆☆","要相談","要相談","https://www.city.shimada.shizuoka.jp/kurashi-docs/shudankaishu.html","https://www.city.shimada.shizuoka.jp/kurashi-docs/shudankaishu.html",""
"83877","https://j-izumi.com/policy/83877/detail","居場所事業（高齢者等居場所整備事業費補助金）","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.shimada.shizuoka.jp/kurashi-docs/ibasyo.html","https://www.city.shimada.shizuoka.jp/kurashi-docs/ibasyo.html",""
