policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"92684","https://j-izumi.com/policy/92684/detail","小規模事業者経営改善資金（マル経融資）利子補給金","","","","","15万円","★☆☆☆☆","要相談","要相談","https://www.city.matsubara.lg.jp/docs/1981674.html","https://www.city.matsubara.lg.jp/docs/1981674.html",""
"92687","https://j-izumi.com/policy/92687/detail","被害防止柵（電気柵等）の購入費用補助（野生動物被害防止柵設置補助金）","","","","","2万円","★☆☆☆☆","要相談","要相談","https://www.city.hidaka.lg.jp/tourism_environment/16/boujyo/6746.html","https://www.city.hidaka.lg.jp/tourism_environment/16/boujyo/6746.html",""
"92688","https://j-izumi.com/policy/92688/detail","創造産業立地補助金","","","","","10億円","★★★★★","要相談","要相談","https://www.city.toyota.aichi.jp/_res/projects/default_project/_page_/001/065/002/02.pdf","https://www.city.toyota.aichi.jp/jigyousha/kigyoyuchi/1065001/1065002/index.html | https://www.city.toyota.aichi.jp/_res/projects/default_project/_page_/001/065/002/02.pdf",""
"92689","https://j-izumi.com/policy/92689/detail","農林業振興対策 (薪ストーブ設置) 事業補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.vill.kunohe.iwate.jp/fs/1/9/4/9/7/_/%E8%96%AA%E3%82%B9%E3%83%88%E3%83%BC%E3%83%96%E8%A3%9C%E5%8A%A9%E3%83%81%E3%83%A9%E3%82%B7.pdf","https://www.vill.kunohe.iwate.jp/docs/2528.html | https://www.vill.kunohe.iwate.jp/fs/1/9/4/9/7/_/%E8%96%AA%E3%82%B9%E3%83%88%E3%83%BC%E3%83%96%E8%A3%9C%E5%8A%A9%E3%83%81%E3%83%A9%E3%82%B7.pdf",""
"92690","https://j-izumi.com/policy/92690/detail","自主防災組織資機材等整備助成金制度","","","","","12万円","★☆☆☆☆","要相談","要相談","https://www.city.ikeda.osaka.jp/soshiki/sogoseisaku/kikikanri/bousai/sonae/19486.html","https://www.city.ikeda.osaka.jp/soshiki/sogoseisaku/kikikanri/bousai/sonae/19486.html",""
"92691","https://j-izumi.com/policy/92691/detail","少年団等活動費助成金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.abashiri.hokkaido.jp/soshiki/28/2263.html","https://www.city.abashiri.hokkaido.jp/soshiki/28/2263.html",""
"92693","https://j-izumi.com/policy/92693/detail","見本市等出展補助金","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.city.gifu.lg.jp/business/sangyoushinkou/1005760/1005777/1005779.html","https://www.city.gifu.lg.jp/business/sangyoushinkou/1005760/1005777/1005779.html | https://www.city.gifu.lg.jp/cgi-bin/contacts/G160180",""
"92694","https://j-izumi.com/policy/92694/detail","用地取得補助金","","","","","1億円","★★★★★","要相談","要相談","https://www.city.toyota.aichi.jp/jigyousha/kigyoyuchi/1065001/1065004/index.html","https://www.city.toyota.aichi.jp/jigyousha/kigyoyuchi/1065001/1065004/index.html",""
"92695","https://j-izumi.com/policy/92695/detail","令和7年度 テイクオフ補助金","","","","","月額5万円/12か月","★☆☆☆☆","要相談","要相談","https://www.city.hirakata.osaka.jp/cmsfiles/contents/0000003/3470/annnai01.pdf","https://www.city.hirakata.osaka.jp/0000003470.html | https://www.city.hirakata.osaka.jp/cmsfiles/contents/0000003/3470/annnai01.pdf | https://www.city.hirakata.osaka.jp/cmsfiles/contents/0000003/3470/annnai02.pdf",""
"92696","https://j-izumi.com/policy/92696/detail","知的対流推進事業 知的対流推進事業補助金","","","","","","★★☆☆☆","要相談","要相談","https://www.city.hiratsuka.kanagawa.jp/sangyo/page33_00163.html","https://www.city.hiratsuka.kanagawa.jp/sangyo/page33_00163.html",""
"92700","https://j-izumi.com/policy/92700/detail","令和7年度 太陽光発電システムなどの設置費補助金（住宅用・事業者用）","","","","","15万円","★☆☆☆☆","要相談","要相談","https://www.city.yashio.lg.jp/kurashi/sumai_community/sumai/R7_taiyoko.files/R7_jyuutaku_panfu2.pdf","https://www.city.yashio.lg.jp/kurashi/sumai_community/sumai/R7_taiyoko.html | https://www.city.yashio.lg.jp/kurashi/sumai_community/sumai/R7_taiyoko.files/R7_jyuutaku_panfu2.pdf | https://www.city.yashio.lg.jp/kurashi/sumai_community/sumai/R7_taiyoko.files/R7_jigyoyusya_panfu2.pdf",""
"92703","https://j-izumi.com/policy/92703/detail","創業者支援補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.fujimi.saitama.jp/60jigyo/06sangyou/work/sougyousyasienhojyo.files/R7sougyousien-tirasi.pdf","https://www.city.fujimi.saitama.jp/60jigyo/06sangyou/work/sougyousyasienhojyo.html | https://www.city.fujimi.saitama.jp/60jigyo/06sangyou/work/sougyousyasienhojyo.files/R7sougyousien-tirasi.pdf",""
"92705","https://j-izumi.com/policy/92705/detail","介護福祉士資格取得支援制度","","","","","","★☆☆☆☆","要相談","要相談","https://www.town.ichikai.tochigi.jp/info/1810","https://www.town.ichikai.tochigi.jp/info/1810 | https://www.town.ichikai.tochigi.jp/forms/contactaccept/edit/info/1810",""
"92709","https://j-izumi.com/policy/92709/detail","加西市小規模事業者持続化事業支援補助金","","","","","20万円","★★★☆☆","要相談","要相談","https://www.city.kasai.hyogo.jp/soshiki/20/1939.html","https://www.city.kasai.hyogo.jp/soshiki/20/1939.html",""
"92710","https://j-izumi.com/policy/92710/detail","令和7年度 下関港長州出島利用促進補助金","","","","","100万円","★☆☆☆☆","要相談","要相談","https://www.city.shimonoseki.lg.jp/uploaded/attachment/83741.pdf","https://www.shimonoseki-port.com/126259.html | https://www.city.shimonoseki.lg.jp/uploaded/attachment/83741.pdf",""
"92711","https://j-izumi.com/policy/92711/detail","高度先端産業導入促進補助金","","","","","200万円","★★☆☆☆","要相談","要相談","https://www.city.saito.lg.jp/%E8%A5%BF%E9%83%BD%E5%B8%82%E9%AB%98%E5%BA%A6%E5%85%88%E7%AB%AF%E7%94%A3%E6%A5%AD%E5%B0%8E%E5%85%A5%E4%BF%83%E9%80%B2%E8%A3%9C%E5%8A%A9%E9%87%91.pdf","https://www.city.saito.lg.jp/sangyo/post_1734.html | https://www.city.saito.lg.jp/%E8%A5%BF%E9%83%BD%E5%B8%82%E9%AB%98%E5%BA%A6%E5%85%88%E7%AB%AF%E7%94%A3%E6%A5%AD%E5%B0%8E%E5%85%A5%E4%BF%83%E9%80%B2%E8%A3%9C%E5%8A%A9%E9%87%91.pdf",""
"92712","https://j-izumi.com/policy/92712/detail","地域団体に対する街頭防犯カメラなどの防犯設備の整備等の補助制度","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.fussa.tokyo.jp/life/disaster/crimepreven/1010358.html","https://www.city.fussa.tokyo.jp/life/disaster/crimepreven/1010358.html",""
"92714","https://j-izumi.com/policy/92714/detail","令和7年度 地球温暖化対策用設備導入助成","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html","https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html",""
"92715","https://j-izumi.com/policy/92715/detail","自主防災組織補助金","","","","","50万円","★☆☆☆☆","要相談","要相談","https://www.town.kawaminami.miyazaki.jp/uploaded/attachment/6942.pdf","https://www.town.kawaminami.miyazaki.jp/soshiki/1/13708.html | https://www.town.kawaminami.miyazaki.jp/uploaded/attachment/6942.pdf",""
"92718","https://j-izumi.com/policy/92718/detail","農業用施設等整備事業","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.yamaguchi.lg.jp/soshiki/65/170361.html","https://www.city.yamaguchi.lg.jp/soshiki/65/170361.html",""
"92720","https://j-izumi.com/policy/92720/detail","スポーツ・文化振興補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.town.onagawa.miyagi.jp/05_15_03_05.html","https://www.town.onagawa.miyagi.jp/05_15_03_05.html",""
"92723","https://j-izumi.com/policy/92723/detail","集合住宅・事業所等LED照明設置費補助金","","","","","30万円","★☆☆☆☆","要相談","要相談","https://www.city.adachi.tokyo.jp/kankyo/kurashi/kankyo/ondanka-j-h24-led.html","https://www.city.adachi.tokyo.jp/kankyo/kurashi/kankyo/ondanka-j-h24-led.html",""
"92724","https://j-izumi.com/policy/92724/detail","鳥獣被害防止対策事業補助金","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.city.dazaifu.lg.jp/soshiki/26/20326.html","https://www.city.dazaifu.lg.jp/soshiki/26/20326.html | https://www.city.dazaifu.lg.jp/form/detail.php?sec_sec1=27&lif_id=41101&check",""
"92725","https://j-izumi.com/policy/92725/detail","令和7年度 中小企業設備投資促進補助金","","","","","100万円","★☆☆☆☆","要相談","要相談","https://www.town.koryo.nara.jp/0000007263.html","https://www.town.koryo.nara.jp/0000007263.html",""
"92727","https://j-izumi.com/policy/92727/detail","市内企業プロモーション動画制作支援補助金","","","","","15万円","★☆☆☆☆","要相談","要相談","https://www.city.yame.fukuoka.jp/material/files/group/45/dougaseisaku.pdf","https://www.city.yame.fukuoka.jp/jigyosha/3/12540.html | https://www.city.yame.fukuoka.jp/material/files/group/45/dougaseisaku.pdf | https://www.city.yame.fukuoka.jp/cgi-bin/inquiry.php/66?page_no=12540",""
"92729","https://j-izumi.com/policy/92729/detail","令和7年度 中小企業・小規模企業新商品等開発補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.town.koryo.nara.jp/0000007267.html","https://www.town.koryo.nara.jp/0000007267.html",""
"92730","https://j-izumi.com/policy/92730/detail","木質バイオマス利活用推進事業補助金","","","","","3,000円/1㎥3","★☆☆☆☆","要相談","要相談","https://www.city.iwaki.lg.jp//www/contents/1742341219969/index.html","https://www.city.iwaki.lg.jp//www/contents/1742341219969/index.html",""
"92731","https://j-izumi.com/policy/92731/detail","鳥獣被害防止対策事業（電気柵導入事業）","","","","","3万円","★☆☆☆☆","要相談","要相談","https://www.city.minamikyushu.lg.jp/shigoto_sangyo/nogyo_ringyo_suisangyo/1/9035.html","https://www.city.minamikyushu.lg.jp/shigoto_sangyo/nogyo_ringyo_suisangyo/1/9035.html",""
"92732","https://j-izumi.com/policy/92732/detail","令和7年度苫小牧市立地企業サポート事業補助金【人材確保支援事業】","","","","","20万円","★★☆☆☆","要相談","要相談","https://www.city.tomakomai.hokkaido.jp/kigyoritchi/oshirase/r7support.html","https://www.city.tomakomai.hokkaido.jp/kigyoritchi/oshirase/r7support.html",""
"92733","https://j-izumi.com/policy/92733/detail","有害鳥獣被害対策事業(被害防止施設整備事業)補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.izumo.shimane.jp/www/contents/1706059714053/index.html","https://www.city.izumo.shimane.jp/www/contents/1706059714053/index.html",""
"92736","https://j-izumi.com/policy/92736/detail","いわき市産木材販路拡大等推進支援事業補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.iwaki.lg.jp/www/contents/1739945296391/files/shisanmokuzai_youkou_gaiyou.pdf","https://www.city.iwaki.lg.jp//www/contents/1739945296391/index.html | https://www.city.iwaki.lg.jp/www/contents/1739945296391/files/shisanmokuzai_youkou_gaiyou.pdf | https://www.city.iwaki.lg.jp/inquiry/mailform",""
"92738","https://j-izumi.com/policy/92738/detail","環境負荷軽減活動支援事業補助金","","","","","50万円","★☆☆☆☆","要相談","要相談","https://www.city.matsue.lg.jp/sangyo_business/sangyoshinko/seizou_shien/22482.html","https://www.city.matsue.lg.jp/sangyo_business/sangyoshinko/seizou_shien/22482.html",""
"92739","https://j-izumi.com/policy/92739/detail","危険ブロック塀撤去支援事業","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.city.odate.lg.jp/city/soshiki/k-kentikusidou/p11761","https://www.city.odate.lg.jp/city/soshiki/k-kentikusidou/p11761",""
"92740","https://j-izumi.com/policy/92740/detail","再投資促進奨励金","","","","","3億円","★★★★★","要相談","要相談","https://www.city.toyohashi.lg.jp/secure/9121/chirashi5.pdf","https://www.city.toyohashi.lg.jp/item/117211.htm#itemid117211 | https://www.city.toyohashi.lg.jp/secure/9121/chirashi5.pdf",""
"92741","https://j-izumi.com/policy/92741/detail","令和7年度 次世代自動車導入補助金","","","","","20万円/1台","★☆☆☆☆","要相談","要相談","https://www.city.fukushima-date.lg.jp/uploaded/attachment/69407.pdf","https://www.city.fukushima-date.lg.jp/soshiki/86/77420.html | https://www.city.fukushima-date.lg.jp/uploaded/attachment/69407.pdf | https://www.city.fukushima-date.lg.jp/form/detail.php?sec_sec1=86&lif_id=77420&check",""
"92743","https://j-izumi.com/policy/92743/detail","創業支援事業","","","","","","★☆☆☆☆","要相談","要相談","https://town.nakatane.kagoshima.jp/koho/machinojoho/koho-kocho/oshirase/documents/nakatanetyoukeikaku.pdf","http://town.nakatane.kagoshima.jp/koho/machinojoho/koho-kocho/oshirase/sougyousien.html | https://town.nakatane.kagoshima.jp/koho/machinojoho/koho-kocho/oshirase/documents/nakatanetyoukeikaku.pdf",""
