policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"109664","https://j-izumi.com/policy/109664/detail","ものづくり中小企業魅力体験（インターンシップ）受入支援事業","","","","","8,000円/1人1日","★☆☆☆☆","要相談","要相談","https://www.tokyo-kosha.or.jp/support/shien/internship/","https://www.tokyo-kosha.or.jp/support/shien/internship/",""
"109668","https://j-izumi.com/policy/109668/detail","地域力向上支援事業補助金","","","","","100万円","★★☆☆☆","要相談","要相談","https://www.town.ine.kyoto.jp/soshiki/kikakukanko/2/7/243.html","https://www.town.ine.kyoto.jp/soshiki/kikakukanko/2/7/243.html",""
"109669","https://j-izumi.com/policy/109669/detail","企業等による緑化貢献活動支援事業","","","","","","★☆☆☆☆","要相談","要相談","https://tokyo-green.jp/company/greening/","https://tokyo-green.jp/company/greening/",""
"109670","https://j-izumi.com/policy/109670/detail","中小企業保証料補給金","","","","","15万円","★☆☆☆☆","要相談","要相談","https://www.town.ine.kyoto.jp/jigyosha/tetsuzuki/1018.html","https://www.town.ine.kyoto.jp/jigyosha/tetsuzuki/1018.html",""
"109672","https://j-izumi.com/policy/109672/detail","資源再生利用促進奨励金","","","","","3円/㎏","★☆☆☆☆","要相談","要相談","https://www.city.oamishirasato.lg.jp/0000003760.html","https://www.city.oamishirasato.lg.jp/0000003760.html",""
"109677","https://j-izumi.com/policy/109677/detail","東京の漁業を支える人材育成事業費補助金（民間団体）","","","","","","★☆☆☆☆","要相談","要相談","https://www.support-navi.metro.tokyo.lg.jp/detail/2/iBFTs6DjHX3SnfVSB","https://www.support-navi.metro.tokyo.lg.jp/detail/2/iBFTs6DjHX3SnfVSB",""
"109678","https://j-izumi.com/policy/109678/detail","民間バスの借上げ助成（バス借上料助成金）","","","","","6万円","★☆☆☆☆","要相談","要相談","https://www.city.yamato.lg.jp/gyosei/soshik/60/seniorlife/5257.html#:~:text=%E6%B0%91%E9%96%93%E3%83%90%E3%82%B9%E3%81%AE%E5%80%9F%E4%B8%8A%E3%81%92%E5%8A%A9%E6%88%90","https://www.city.yamato.lg.jp/gyosei/soshik/60/seniorlife/5257.html#:~:text=%E6%B0%91%E9%96%93%E3%83%90%E3%82%B9%E3%81%AE%E5%80%9F%E4%B8%8A%E3%81%92%E5%8A%A9%E6%88%90",""
"109681","https://j-izumi.com/policy/109681/detail","令和7年度 グリーンビークル普及促進事業費補助金","","","","","60万円","★☆☆☆☆","要相談","要相談","https://www.city.amagasaki.hyogo.jp/_res/projects/default_project/_page_/001/014/292/R7_chirashi.pdf","https://www.city.amagasaki.hyogo.jp/kurashi/kankyo/hozen/1003762/1014292.html | https://www.city.amagasaki.hyogo.jp/_res/projects/default_project/_page_/001/014/292/R7_chirashi.pdf",""
"109682","https://j-izumi.com/policy/109682/detail","令和7年度 障害者施設開設等サポート事業補助金","","","","","300万円","★★☆☆☆","要相談","要相談","https://www.city.amagasaki.hyogo.jp/kurashi/syogaisya/ziritu/1004198/1011941.html","https://www.city.amagasaki.hyogo.jp/kurashi/syogaisya/ziritu/1004198/1011941.html",""
"109685","https://j-izumi.com/policy/109685/detail","令和7年度 観光関連事業者による環境対策促進事業補助金","","","","","1,500万円","★★★★☆","要相談","要相談","https://www.tcvb.or.jp/jp/project/infra/kankyo/","https://www.tcvb.or.jp/jp/project/infra/kankyo/",""
"109686","https://j-izumi.com/policy/109686/detail","宿泊施設バリアフリー改修工事補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.toba.mie.jp/soshiki/kanko_kikaku/hojo_josei/8145.html","https://www.city.toba.mie.jp/soshiki/kanko_kikaku/hojo_josei/8145.html",""
"109689","https://j-izumi.com/policy/109689/detail","令和7年度 ジャンボタニシ被害防除事業補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.info.city.tsu.mie.jp/www/contents/1716189457422/simple/R7tirashi.pdf","https://www.info.city.tsu.mie.jp/www/contents/1716189457422/index.html | https://www.info.city.tsu.mie.jp/www/contents/1716189457422/simple/R7tirashi.pdf",""
"109691","https://j-izumi.com/policy/109691/detail","企業再投資促進補助金","","","","","4億円","★★★★★","要相談","要相談","https://www.city.inuyama.aichi.jp/jigyo/kougyou/1001118.html","https://www.city.inuyama.aichi.jp/jigyo/kougyou/1001118.html",""
"109700","https://j-izumi.com/policy/109700/detail","令和7年度 商談会・展示会出展補助金","","","","","5万円","★☆☆☆☆","要相談","要相談","https://www.city.shibata.lg.jp/jigyosha/shien/1011159/1026055.html","https://www.city.shibata.lg.jp/jigyosha/shien/1011159/1026055.html",""
"109702","https://j-izumi.com/policy/109702/detail","事業所用太陽光発電設備等導入補助金","","","","","318万円","★★☆☆☆","要相談","要相談","https://www.town.nanbu.tottori.jp/admin/chouminseikatsuka/a110/c117/","https://www.town.nanbu.tottori.jp/admin/chouminseikatsuka/a110/c117/",""
"109703","https://j-izumi.com/policy/109703/detail","小規模事業者経営改善資金（マル経融資）利子補給","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.akiruno.tokyo.jp/0000000556.html","https://www.city.akiruno.tokyo.jp/0000000556.html",""
"109704","https://j-izumi.com/policy/109704/detail","令和7年度 カーボンニュートラル推進事業補助金（設備導入等支援事業）","","","","","100万円","★☆☆☆☆","要相談","要相談","https://www.city.anjo.aichi.jp/zigyo/syoko/carbonneutral/documents/r7cnleaflet.pdf","https://www.city.anjo.aichi.jp/zigyo/syoko/carbonneutral/202341carbonneutral.html | https://www.city.anjo.aichi.jp/zigyo/syoko/carbonneutral/documents/r7cnleaflet.pdf",""
