policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"111024","https://j-izumi.com/policy/111024/detail","海外研修への助成（農業後継者等海外派遣事業）","","","","","30万円","★☆☆☆☆","要相談","要相談","https://www.hyogo-shunou.jp/support.html#:~:text=%E6%B5%B7%E5%A4%96%E7%A0%94%E4%BF%AE%E3%81%B8%E3%81%AE%E5%8A%A9%E6%88%90%EF%BC%88%E8%BE%B2%E6%A5%AD%E5%BE%8C%E7%B6%99%E8%80%85%E7%AD%89%E6%B5%B7%E5%A4%96%E6%B4%BE%E9%81%A3%E4%BA%8B%E6%A5%AD%EF%BC%89","https://www.hyogo-shunou.jp/support.html#:~:text=%E6%B5%B7%E5%A4%96%E7%A0%94%E4%BF%AE%E3%81%B8%E3%81%AE%E5%8A%A9%E6%88%90%EF%BC%88%E8%BE%B2%E6%A5%AD%E5%BE%8C%E7%B6%99%E8%80%85%E7%AD%89%E6%B5%B7%E5%A4%96%E6%B4%BE%E9%81%A3%E4%BA%8B%E6%A5%AD%EF%BC%89",""
"111025","https://j-izumi.com/policy/111025/detail","令和7年度 事業者向け再エネ導入事業費補助金","","","","","100万円","★★☆☆☆","要相談","要相談","https://www.town.kumamoto-yamato.lg.jp/kiji0039620/3_9620_23700_up_5jajlmxn.pdf","https://www.town.kumamoto-yamato.lg.jp/kiji0039620/index.html | https://www.town.kumamoto-yamato.lg.jp/kiji0039620/3_9620_23700_up_5jajlmxn.pdf",""
"111026","https://j-izumi.com/policy/111026/detail","ひょうご農商工連携ファンド事業助成金","","","","","400万円","★★☆☆☆","要相談","要相談","https://www.hyogo-shunou.jp/support.html#:~:text=8-,%E3%81%B2%E3%82%87%E3%81%86%E3%81%94%E8%BE%B2%E5%95%86%E5%B7%A5%E9%80%A3%E6%90%BA%E3%83%95%E3%82%A1%E3%83%B3%E3%83%89%E4%BA%8B%E6%A5%AD%E5%8A%A9%E6%88%90%E9%87%91,-%E9%AD%85%E5%8A%9B%E3%81%82%E3%82%8B%E8%BE%B2%E6%A5%AD","https://www.hyogo-shunou.jp/support.html#:~:text=8-,%E3%81%B2%E3%82%87%E3%81%86%E3%81%94%E8%BE%B2%E5%95%86%E5%B7%A5%E9%80%A3%E6%90%BA%E3%83%95%E3%82%A1%E3%83%B3%E3%83%89%E4%BA%8B%E6%A5%AD%E5%8A%A9%E6%88%90%E9%87%91,-%E9%AD%85%E5%8A%9B%E3%81%82%E3%82%8B%E8%BE%B2%E6%A5%AD",""
"111028","https://j-izumi.com/policy/111028/detail","出会い応援事業補助金","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.city.minamikyushu.lg.jp/material/files/group/6/deaigaiyou.pdf","https://www.city.minamikyushu.lg.jp/soshikikarasagasu/kikakuka/ijyuteijyusokushin/11/6787.html | https://www.city.minamikyushu.lg.jp/material/files/group/6/deaigaiyou.pdf",""
"111031","https://j-izumi.com/policy/111031/detail","令和7年度 農作物被害防止対策補助金","","","","","15万円","★☆☆☆☆","要相談","要相談","https://www.city.masuda.lg.jp/soshikikarasagasu/sangyokeizaibu/norinsuisanka/7/3099.html","https://www.city.masuda.lg.jp/soshikikarasagasu/sangyokeizaibu/norinsuisanka/7/3099.html",""
"111034","https://j-izumi.com/policy/111034/detail","放課後児童クラブ事業補助金","","","","","162万円","★☆☆☆☆","要相談","要相談","https://www.city.masuda.lg.jp/soshikikarasagasu/fukushikankyobu/kodomofukushika/7/10799.html","https://www.city.masuda.lg.jp/soshikikarasagasu/fukushikankyobu/kodomofukushika/7/10799.html",""
"111036","https://j-izumi.com/policy/111036/detail","ごみステーション施設整備事業補助金","","","","","3万円/1ヶ所","★☆☆☆☆","要相談","要相談","https://www.city.masuda.lg.jp/material/files/group/27/seibiannai.pdf","https://www.city.masuda.lg.jp/soshikikarasagasu/fukushikankyobu/kankyoeiseika/2/14/6320.html | https://www.city.masuda.lg.jp/material/files/group/27/seibiannai.pdf",""
"111039","https://j-izumi.com/policy/111039/detail","令和7年度 創業支援事業費補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.gamagori.lg.jp/uploaded/attachment/107626.pdf","https://www.city.gamagori.lg.jp/unit/sangyo/sougyou-shien-hojokin.html | https://www.city.gamagori.lg.jp/uploaded/attachment/107626.pdf",""
"111040","https://j-izumi.com/policy/111040/detail","令和7年度 新販路開拓等応援プロジェクト補助金","","","","","100万円","★☆☆☆☆","要相談","要相談","https://www.city.higashimurayama.tokyo.jp/kurashi/jigyo/chusyo/josei_hojo_kyuuhu/sangyou202104271.html","https://www.city.higashimurayama.tokyo.jp/kurashi/jigyo/chusyo/josei_hojo_kyuuhu/sangyou202104271.html",""
"111045","https://j-izumi.com/policy/111045/detail","米国関税措置・物価高緊急対策事業補助金","","","","","100万円","★☆☆☆☆","要相談","要相談","https://www.f-open.or.jp/support/fund/static-document/pdf/us-flyer-01-04.pdf","https://www.f-open.or.jp/support/fund/us-tariff-high-prices.html | https://www.f-open.or.jp/support/fund/static-document/pdf/us-flyer-01-04.pdf",""
"111048","https://j-izumi.com/policy/111048/detail","令和7年度 地域活性化応援事業補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.town.higashikagura.lg.jp/docs/5239.html","https://www.town.higashikagura.lg.jp/docs/5239.html",""
"111049","https://j-izumi.com/policy/111049/detail","令和7年度 イノベーション拠点認定事業補助金","","","","","250万円","★★☆☆☆","要相談","要相談","https://www.city.chiba.jp/keizainosei/keizai/sangyo/documents/r7innovation_chirashi.pdf","https://www.city.chiba.jp/keizainosei/keizai/sangyo/innovationhojokin.html | https://www.city.chiba.jp/keizainosei/keizai/sangyo/documents/r7innovation_chirashi.pdf",""
"111052","https://j-izumi.com/policy/111052/detail","主伐・再造林推進事業補助金","","","","","8万円/ha","★☆☆☆☆","要相談","要相談","https://www.city.gujo.gifu.jp/business/detail/post-305.html","https://www.city.gujo.gifu.jp/business/detail/post-305.html",""
"111055","https://j-izumi.com/policy/111055/detail","子ども食堂運営支援補助金","","","","","15万円","★☆☆☆☆","要相談","要相談","https://www.city.yatsushiro.lg.jp/kiji00322175/index.html","https://www.city.yatsushiro.lg.jp/kiji00322175/index.html",""
"111057","https://j-izumi.com/policy/111057/detail","令和7年度 介護ロボット・ICT機器等導入支援補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.higashihiroshima.lg.jp/soshiki/kenkofukushi/1/kaigojinnzai/35940.html","https://www.city.higashihiroshima.lg.jp/soshiki/kenkofukushi/1/kaigojinnzai/35940.html",""
"111058","https://j-izumi.com/policy/111058/detail","男鹿のナマハゲ保存・継承費補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/4441.html","https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/4441.html",""
"111062","https://j-izumi.com/policy/111062/detail","リノベーション創業支援事業補助金","","","","","30万円","★☆☆☆☆","要相談","要相談","https://www.city.chichibu.lg.jp/secure/24445/renovation_sogyohojo_chirashi_R7.pdf","https://www.city.chichibu.lg.jp/10170.html | https://www.city.chichibu.lg.jp/secure/24445/renovation_sogyohojo_chirashi_R7.pdf",""
