policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"114123","https://j-izumi.com/policy/114123/detail","令和7年度 「緑の募金」緑化推進活動助成事業（後期募集）","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.kani.lg.jp/25515.htm","https://www.city.kani.lg.jp/25515.htm",""
"114127","https://j-izumi.com/policy/114127/detail","令和7年度 中小企業融資金利子補給制度","","","","","","★☆☆☆☆","要相談","要相談","https://r.goope.jp/m-aso-shokokai/info/6556332","https://r.goope.jp/m-aso-shokokai/info/6556332 | https://cdn.goope.jp/94323/251210120219-6938e2bba6699.png",""
"114132","https://j-izumi.com/policy/114132/detail","新事業進出補助金《第3回》（中小企業新事業進出補助金）","","","","","9,000万円","★★★★★","要相談","要相談","https://shinjigyou-shinshutsu.smrj.go.jp/","https://shinjigyou-shinshutsu.smrj.go.jp/",""
"114135","https://j-izumi.com/policy/114135/detail","令和7年度 社宅等整備促進補助金","","","","","1,000万円/50戸","★★★★☆","要相談","要相談","https://www.city.takatsuki.osaka.jp/uploaded/attachment/50277.pdf","https://www.city.takatsuki.osaka.jp/soshiki/58/59038.html | https://www.city.takatsuki.osaka.jp/uploaded/attachment/50277.pdf",""
"114136","https://j-izumi.com/policy/114136/detail","開業資金融資保証料補給制度","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.tondabayashi.lg.jp/soshiki/36/1503.html#:~:text=%E5%AF%8C%E7%94%B0%E6%9E%97%E5%B8%82%E9%96%8B%E6%A5%AD%E8%B3%87%E9%87%91%E8%9E%8D%E8%B3%87%E4%BF%9D%E8%A8%BC%E6%96%99%E8%A3%9C%E7%B5%A6%E5%88%B6%E5%BA%A6","https://www.city.tondabayashi.lg.jp/soshiki/36/1503.html#:~:text=%E5%AF%8C%E7%94%B0%E6%9E%97%E5%B8%82%E9%96%8B%E6%A5%AD%E8%B3%87%E9%87%91%E8%9E%8D%E8%B3%87%E4%BF%9D%E8%A8%BC%E6%96%99%E8%A3%9C%E7%B5%A6%E5%88%B6%E5%BA%A6",""
"114138","https://j-izumi.com/policy/114138/detail","創業融資利子補給制度","","","","","5万円","★☆☆☆☆","要相談","要相談","https://www.city.tondabayashi.lg.jp/soshiki/36/121561.html","https://www.city.tondabayashi.lg.jp/soshiki/36/121561.html",""
"114140","https://j-izumi.com/policy/114140/detail","令和7年度 原木乾しいたけ生産環境改善支援事業","","","","","","★☆☆☆☆","要相談","要相談","https://www.pref.ehime.jp/uploaded/attachment/165952.pdf","https://www.pref.ehime.jp/page/131212.html | https://www.pref.ehime.jp/uploaded/attachment/165952.pdf",""
"114141","https://j-izumi.com/policy/114141/detail","令和7年度 林業・木材産業効率化支援事業","","","","","250万円/1施設","★★☆☆☆","要相談","要相談","https://www.pref.ehime.jp/page/131216.html","https://www.pref.ehime.jp/page/131216.html",""
"114144","https://j-izumi.com/policy/114144/detail","2026年度 Innovation for Cool Earth Forum（ICEF）の実施に係る国際連携及び情報発信等事業","","","","","","★★★★★","要相談","要相談","https://www.nedo.go.jp/koubo/GI2_100001_00011.html","https://www.nedo.go.jp/koubo/GI2_100001_00011.html",""
"114147","https://j-izumi.com/policy/114147/detail","小規模事業者持続化補助金＜共同・協業型＞（第2回）","","","","","5,000万円","★★★★★","要相談","要相談","https://r6.kyodokyogyohojokin.info/","https://r6.kyodokyogyohojokin.info/",""
