policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"64501","https://j-izumi.com/policy/64501/detail","西原町農業関係補助事業","","","","","1万5000円/頭","★☆☆☆☆","要相談","要相談","http://www.town.nishihara.okinawa.jp/news/231001/pdf/13-1news.pdf","https://www.town.nishihara.okinawa.jp/news/231001/13-1news.html | http://www.town.nishihara.okinawa.jp/news/231001/pdf/13-1news.pdf",""
"64513","https://j-izumi.com/policy/64513/detail","北九州市事業承継調査活動等補助金","","","","","50万円","★☆☆☆☆","要相談","要相談","https://www.city.kitakyushu.lg.jp/files/001048967.pdf","https://www.city.kitakyushu.lg.jp/san-kei/10700377.html | https://www.city.kitakyushu.lg.jp/files/001048967.pdf",""
"64518","https://j-izumi.com/policy/64518/detail","中小企業(農業事業者含む)の生産性向上を支援します","","","","","","★☆☆☆☆","要相談","要相談","https://www.town.nakafurano.lg.jp/hotnews/detail/00001326.html","https://www.town.nakafurano.lg.jp/hotnews/detail/00001326.html",""
"64524","https://j-izumi.com/policy/64524/detail","門真市保育士等確保事業","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.kadoma.osaka.jp/kosodate/kosodate/23819.html","https://www.city.kadoma.osaka.jp/kosodate/kosodate/23819.html",""
"64535","https://j-izumi.com/policy/64535/detail","京田辺市高齢者スマートフォン講習会開催事業補助金交付事業","","","","","2万円","★☆☆☆☆","要相談","要相談","https://www.city.kyotanabe.lg.jp/0000019392.html","https://www.city.kyotanabe.lg.jp/0000019392.html",""
"64536","https://j-izumi.com/policy/64536/detail","中野市有害鳥獣対策事業補助金","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.city.nakano.nagano.jp/docs/2023050600011/","https://www.city.nakano.nagano.jp/docs/2023050600011/",""
"64540","https://j-izumi.com/policy/64540/detail","介護福祉士養成校就学生への奨学金等支給支援事業費補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.goto.nagasaki.jp/s033/020/020/010/020/20230919154119.html","https://www.city.goto.nagasaki.jp/s033/020/020/010/020/20230919154119.html",""
"64550","https://j-izumi.com/policy/64550/detail","商店会等に対する支援","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.kodaira.tokyo.jp/kurashi/038/038837.html?ref=rss","https://www.city.kodaira.tokyo.jp/kurashi/038/038837.html?ref=rss",""
"64559","https://j-izumi.com/policy/64559/detail","墨田区公衆喫煙所設置等助成制度","","","","","500万円","★★★☆☆","要相談","要相談","https://www.city.sumida.lg.jp/kurashi/volunteer/rojyou_kinnen/settizyosei.files/panfuret.pdf","https://www.city.sumida.lg.jp/kurashi/volunteer/rojyou_kinnen/settizyosei.html | https://www.city.sumida.lg.jp/kurashi/volunteer/rojyou_kinnen/settizyosei.files/panfuret.pdf",""
"64567","https://j-izumi.com/policy/64567/detail","中小企業振興対策事業補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.osaka-izumi.lg.jp/material/files/group/113/20230928_chushohojochirashi.pdf","https://www.city.osaka-izumi.lg.jp/kakukano/sangyoubu/sangyosinkositu/syoukoukanko/gyoumu/tyuushoukigyou/chusho_shien.html | https://www.city.osaka-izumi.lg.jp/material/files/group/113/20230928_chushohojochirashi.pdf",""
