policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"28599","https://j-izumi.com/policy/28599/detail","中井町中小企業信用保証料補助制度","","","","","50万円","★☆☆☆☆","要相談","要相談","https://www.town.nakai.kanagawa.jp/div/sangyou/pdf/chushokigyou/shinyohoshoyoko.pdf","https://www.town.nakai.kanagawa.jp/soshiki/sangyoshinkokasangyoshinkohan/chushokigyonadoshien/581.html | https://www.town.nakai.kanagawa.jp/div/sangyou/pdf/chushokigyou/shinyohoshoyoko.pdf",""
"28601","https://j-izumi.com/policy/28601/detail","信用保証料補助制度","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.city.ayase.kanagawa.jp/hp/page000017400/hpg000017344.htm","https://www.city.ayase.kanagawa.jp/hp/page000017400/hpg000017344.htm",""
"28602","https://j-izumi.com/policy/28602/detail","中小企業信用保証料補助金","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.city.isehara.kanagawa.jp/docs/2014041400055/","https://www.city.isehara.kanagawa.jp/docs/2014041400055/",""
"28603","https://j-izumi.com/policy/28603/detail","信用保証料の助成","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.tsubame.niigata.jp/soshiki/sangyo_shinko/2/shien/seido/shienseido/11883.html","https://www.city.tsubame.niigata.jp/soshiki/sangyo_shinko/2/shien/seido/shienseido/11883.html",""
"28604","https://j-izumi.com/policy/28604/detail","信用保証料補給制度","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.mitsuke.niigata.jp/5893.htm","https://www.city.mitsuke.niigata.jp/5893.htm",""
"28605","https://j-izumi.com/policy/28605/detail","十日町市各種制度融資の信用保証料補給","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.tokamachi.lg.jp/soshiki/sangyokankobu/sangyoseisakuka/2/gyomu/1450419585871.html","https://www.city.tokamachi.lg.jp/soshiki/sangyokankobu/sangyoseisakuka/2/gyomu/1450419585871.html",""
"28607","https://j-izumi.com/policy/28607/detail","信用保証料補助","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.sanjo.niigata.jp/soshiki/keizaibu/shokoka/sangyo/yushi_hojo/4080.html","https://www.city.sanjo.niigata.jp/soshiki/keizaibu/shokoka/sangyo/yushi_hojo/4080.html",""
"28610","https://j-izumi.com/policy/28610/detail","≪安来市≫保証料補給金制度","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.yasugi.shimane.jp/shigoto/shokokanko/others/hoshoseido.html","https://www.city.yasugi.shimane.jp/shigoto/shokokanko/others/hoshoseido.html",""
"28653","https://j-izumi.com/policy/28653/detail","【前橋市】企業立地助成金","","","","","1億円","★★★★★","要相談","要相談","https://www.city.maebashi.gunma.jp/material/files/group/55/chirashi_81789422.pdf","https://www.city.maebashi.gunma.jp/sangyo_business/4/3/3/9883.html | https://www.city.maebashi.gunma.jp/material/files/group/55/chirashi_81789422.pdf",""
"28689","https://j-izumi.com/policy/28689/detail","新型コロナウイルス感染症の影響に係る法人町民税の申告・納付期限の延長","","","","","","★☆☆☆☆","要相談","要相談","https://www.town.kanie.aichi.jp/site/kansen/koronahozin.html","https://www.town.kanie.aichi.jp/site/kansen/koronahozin.html",""
"28890","https://j-izumi.com/policy/28890/detail","ICT活用原木生産体制整備事業費補助金","","","","","1500万円","★★★★★","要相談","要相談","https://www.pref.shimane.lg.jp/industry/norin/ringyo/shubatsu_saizourin/ictkatuyougennbokuseisanntaiseiseibi.data/1251_ictkouhuyoukou.pdf","https://www.pref.shimane.lg.jp/industry/norin/ringyo/shubatsu_saizourin/ictkatuyougennbokuseisanntaiseiseibi.html | https://www.pref.shimane.lg.jp/industry/norin/ringyo/shubatsu_saizourin/ictkatuyougennbokuseisanntaiseiseibi.data/1251_ictkouhuyoukou.pdf",""
"28893","https://j-izumi.com/policy/28893/detail","五島列島おもてなし協議会着地型ツアー情報発信支援事業補助金","","","","","","★★☆☆☆","要相談","要相談","https://www.city.goto.nagasaki.jp/s054/020/010/010/110omokyoutyakutigatahozyokinn/tyakutigatahozyokinnyoukou.pdf","https://www.city.goto.nagasaki.jp/s054/020/010/010/110omokyoutyakutigatahozyokinn/omokyouhozyokinn.html | https://www.city.goto.nagasaki.jp/s054/020/010/010/110omokyoutyakutigatahozyokinn/tyakutigatahozyokinnyoukou.pdf",""
"28925","https://j-izumi.com/policy/28925/detail","南砺ブランド商品開発等支援事業補助金","","","","","50万円","★☆☆☆☆","要相談","要相談","https://www.city.nanto.toyama.jp/cms-sypher/www/info/detail.jsp?id=26227","https://www.city.nanto.toyama.jp/cms-sypher/www/info/detail.jsp?id=26227",""
"28939","https://j-izumi.com/policy/28939/detail","【大分県】大分県創業支援人材養成事業補助金 創業支援型ベンチャーサポート施設 創業支援人材向け補助金","","","","","69000","★☆☆☆☆","要相談","要相談","http://www.z-tower.net/","http://www.z-tower.net/ | http://www.alliance-share.com/ | http://www.myspace-oita.com/ | http://collegio-oita.com/azito/ | http://unitedshare.jp/ | http://www.united-f.co.jp/ | http://housenet-o.com/ | http://www.igc44.net/ | https://himitsukichi-nakatsu.com/ | https://oita-midtown.com/ | https://www.pref.oita.jp/soshiki/14040/venturefactory-hojokin-sienzinzai.html",""
"28950","https://j-izumi.com/policy/28950/detail","【小樽市】空き店舗対策支援事業助成","","","","","30万円","★☆☆☆☆","要相談","要相談","https://www.city.otaru.lg.jp/docs/2020100800094/","https://www.city.otaru.lg.jp/docs/2020100800094/",""
"29033","https://j-izumi.com/policy/29033/detail","能美市小規模事業者支援事業補助金","","","","","30万円","★☆☆☆☆","要相談","要相談","https://www.city.nomi.ishikawa.jp/www/contents/1648464724729/simple/tirasi.pdf","https://www.city.nomi.ishikawa.jp/www/contents/1648464724729/index.html | https://www.city.nomi.ishikawa.jp/www/contents/1648464724729/simple/tirasi.pdf | https://www.city.nomi.ishikawa.jp/inquiry/mailform",""
"29046","https://j-izumi.com/policy/29046/detail","≪呉市≫事業者向け補助金等申請サポート事業","","","","","10 万円","★☆☆☆☆","要相談","要相談","https://www.city.kure.lg.jp/uploaded/attachment/68314.pdf","https://www.city.kure.lg.jp/soshiki/40/hojokinsupport.html | https://www.city.kure.lg.jp/uploaded/attachment/68314.pdf | https://www.city.kure.lg.jp/form/detail.php?sec_sec1=38&inq=02&lif_id=113849&check",""
"29083","https://j-izumi.com/policy/29083/detail","空き店舗活用創業等支援補助金","","","","","50万円","★☆☆☆☆","要相談","要相談","http://www.city.iruma.saitama.jp/_res/projects/default_project/_page_/001/008/769/202204pamphlet.pdf","https://www.city.iruma.saitama.jp/shigoto_sangyo/shokogyo/6618.html | http://www.city.iruma.saitama.jp/_res/projects/default_project/_page_/001/008/769/202204pamphlet.pdf",""
"29089","https://j-izumi.com/policy/29089/detail","≪喜多方市≫ものづくり企業等移転企業等操業支援事業補助金（工場等改修・設備補助金／工場等賃借補助金）","","","","","150万円","★★☆☆☆","要相談","要相談","http://www.city.kitakata.fukushima.jp/uploaded/attachment/27859.pdf","http://www.city.kitakata.fukushima.jp/soshiki/syoukou/7046.html | http://www.city.kitakata.fukushima.jp/uploaded/attachment/27859.pdf | http://www.city.kitakata.fukushima.jp/form/detail.php?sec_sec1=16&inq=02&check",""
"29114","https://j-izumi.com/policy/29114/detail","LED防犯灯設置事業費補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.fukui-sakai.lg.jp/anzen/bosai-bohan/bohan/chiiki/bohanto.html","https://www.city.fukui-sakai.lg.jp/anzen/bosai-bohan/bohan/chiiki/bohanto.html",""
"29115","https://j-izumi.com/policy/29115/detail","笑顔輝く地域づくり支援事業","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.urahoro.jp/administration/?content=455","https://www.urahoro.jp/administration/?content=455",""
