policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"48801","https://j-izumi.com/policy/48801/detail","魅力ある商店街づくり事業","","","","","300万円","★★☆☆☆","要相談","要相談","https://www.city.ueda.nagano.jp/soshiki/shoko/4591.html","https://www.city.ueda.nagano.jp/soshiki/shoko/4591.html",""
"48805","https://j-izumi.com/policy/48805/detail","公害防止施設設置事業","","","","","1,000万円","★★☆☆☆","要相談","要相談","https://www.city.ueda.nagano.jp/soshiki/shoko/4656.html","https://www.city.ueda.nagano.jp/soshiki/shoko/4656.html",""
"48809","https://j-izumi.com/policy/48809/detail","新規就農者育成援事業","","","","","750万円","★☆☆☆☆","要相談","要相談","http://www.city.hirosaki.aomori.jp/sangyo/nogyo/2022-0411-0945-36.html","http://www.city.hirosaki.aomori.jp/sangyo/nogyo/2022-0411-0945-36.html",""
"48810","https://j-izumi.com/policy/48810/detail","住民主体型サービス事業","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.yoshikawa.saitama.jp/index.cfm/24,98178,133,1169,html","https://www.city.yoshikawa.saitama.jp/index.cfm/24,98178,133,1169,html",""
"48811","https://j-izumi.com/policy/48811/detail","コウノトリ休暇奨励金","","","","","15万円","★☆☆☆☆","要相談","要相談","http://www.town.nasu.lg.jp/0019/info-0000003092-1.html","http://www.town.nasu.lg.jp/0019/info-0000003092-1.html",""
"48812","https://j-izumi.com/policy/48812/detail","働くパパママ育休取得応援奨励金","","","","","300万円","★★☆☆☆","要相談","要相談","https://www.shigotozaidan.or.jp/koyo-kankyo/joseikin/papamamaikukyusyutoku.html","https://www.shigotozaidan.or.jp/koyo-kankyo/joseikin/papamamaikukyusyutoku.html",""
"48813","https://j-izumi.com/policy/48813/detail","公共的施設設置事業(カラー舗装)","","","","","2,500万円","★☆☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48814","https://j-izumi.com/policy/48814/detail","公共的施設設置事業","","","","","2,500万円","★★☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48815","https://j-izumi.com/policy/48815/detail","公共的施設設置事業(防犯カメラ監視システム)","","","","","100万円","★☆☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48816","https://j-izumi.com/policy/48816/detail","公共的施設改修事業","","","","","1,000万円","★★☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48817","https://j-izumi.com/policy/48817/detail","公共的施設撤去事業","","","","","500万円","★☆☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48818","https://j-izumi.com/policy/48818/detail","共同施設等設置事業","","","","","300万円","★☆☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48819","https://j-izumi.com/policy/48819/detail","共同施設等撤去事業","","","","","500万円","★☆☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48820","https://j-izumi.com/policy/48820/detail","イベント事業","","","","","200万円","★☆☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48821","https://j-izumi.com/policy/48821/detail","イメージアップ事業","","","","","60万円","★☆☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48822","https://j-izumi.com/policy/48822/detail","自主的研修支援事業","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.himeji.lg.jp/sangyo/0000005775.html","https://www.city.himeji.lg.jp/sangyo/0000005775.html",""
"48830","https://j-izumi.com/policy/48830/detail","さがみはら子育て支援者ネットワーク(市地域子育て支援事業)","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.sagamihara.kanagawa.jp/kosodate/1026602/kosodate/1006924.html","https://www.city.sagamihara.kanagawa.jp/kosodate/1026602/kosodate/1006924.html",""
"48833","https://j-izumi.com/policy/48833/detail","高齢者等向けの生活支援サービス情報を募集","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.sanjo.niigata.jp/soshiki/fukushihokembu/koreikaigoka/houkatukea/16894.html","https://www.city.sanjo.niigata.jp/soshiki/fukushihokembu/koreikaigoka/houkatukea/16894.html",""
"48840","https://j-izumi.com/policy/48840/detail","よろず支援拠点志布志定期相談会","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.shibushi.lg.jp/soshiki/5/12949.html","https://www.city.shibushi.lg.jp/soshiki/5/12949.html",""
"48846","https://j-izumi.com/policy/48846/detail","情報発信支援","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.tsukuba.lg.jp/jigyosha/shigoto/sangyo/1011810/1011815.html","https://www.city.tsukuba.lg.jp/jigyosha/shigoto/sangyo/1011810/1011815.html",""
"48851","https://j-izumi.com/policy/48851/detail","女性のキャリア形成支援のためのコンサルタント無料派遣制度","","","","","","★☆☆☆☆","要相談","要相談","https://www.pref.oita.jp/soshiki/13040/zyoseikatuyaku-career-consultant.html","https://www.pref.oita.jp/soshiki/13040/zyoseikatuyaku-career-consultant.html",""
"48864","https://j-izumi.com/policy/48864/detail","里山定住支援制度","","","","","","★☆☆☆☆","要相談","要相談","https://www4.city.kanazawa.lg.jp/sangyo_business/sangyoshinko/nogyo_ringyo_suisangyo/4/11013.html","https://www4.city.kanazawa.lg.jp/sangyo_business/sangyoshinko/nogyo_ringyo_suisangyo/4/11013.html",""
"48866","https://j-izumi.com/policy/48866/detail","文化芸術コンクール等参加奨励金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.sagamihara.kanagawa.jp/kankou/bunka/1003559/1003563.html","https://www.city.sagamihara.kanagawa.jp/kankou/bunka/1003559/1003563.html",""
"48884","https://j-izumi.com/policy/48884/detail","バングラデシュICT技術者雇用促進事業","","","","","67万5000円/人","★☆☆☆☆","要相談","要相談","https://www.city.miyazaki.miyazaki.jp/business/location/selling_point/1516.html","https://www.city.miyazaki.miyazaki.jp/business/location/selling_point/1516.html",""
"48886","https://j-izumi.com/policy/48886/detail","コウノトリ育む農法拡大条件整備事業","","","","","3万5,000円以内/10a","★☆☆☆☆","要相談","要相談","https://web.pref.hyogo.lg.jp/tjk10/kounotorihojokin/info.html","https://web.pref.hyogo.lg.jp/tjk10/kounotorihojokin/info.html",""
"48887","https://j-izumi.com/policy/48887/detail","北海道のきれいな空気の施設登録事業","","","","","ステッカー交付","★☆☆☆☆","要相談","要相談","https://www.pref.hokkaido.lg.jp/fs/6/2/4/7/9/2/3/_/03_%E5%AE%9F%E6%96%BD%E8%A6%81%E9%A0%98(%E5%85%A8%E6%96%87).pdf","https://www.pref.hokkaido.lg.jp/hf/kth/kak/tkh/framepage/kinen-bunen-no-suisin.html | https://www.pref.hokkaido.lg.jp/fs/6/2/4/7/9/2/3/_/03_%E5%AE%9F%E6%96%BD%E8%A6%81%E9%A0%98(%E5%85%A8%E6%96%87).pdf",""
"48888","https://j-izumi.com/policy/48888/detail","立地企業助成金","","","","","25億円","★★★☆☆","要相談","要相談","https://www.city.miyazaki.miyazaki.jp/business/location/selling_point/338018.html#%E7%AB%8B%E5%9C%B0%E4%BC%81%E6%A5%AD","https://www.city.miyazaki.miyazaki.jp/business/location/selling_point/338018.html#%E7%AB%8B%E5%9C%B0%E4%BC%81%E6%A5%AD | https://logoform.jp/form/HxnK/150525",""
"48890","https://j-izumi.com/policy/48890/detail","オフィス等賃借助成金","","","","","2,400万円/24ヵ月","★★☆☆☆","要相談","要相談","https://www.city.miyazaki.miyazaki.jp/business/location/selling_point/338018.html#%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9","https://www.city.miyazaki.miyazaki.jp/business/location/selling_point/338018.html#%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9 | https://logoform.jp/form/HxnK/150525",""
"48894","https://j-izumi.com/policy/48894/detail","地域防犯カメラ設置補助金","","","","","18万円","★☆☆☆☆","要相談","要相談","https://www.city.minoh.lg.jp/bousai/bouhan/zitikaibouhankamera.html","https://www.city.minoh.lg.jp/bousai/bouhan/zitikaibouhankamera.html",""
"48901","https://j-izumi.com/policy/48901/detail","奥州市骨髄ドナー支援事業","","","","","14万円","★☆☆☆☆","要相談","要相談","https://www.city.oshu.iwate.jp/soshiki/9/1065/2/2/481.html","https://www.city.oshu.iwate.jp/soshiki/9/1065/2/2/481.html",""
"48902","https://j-izumi.com/policy/48902/detail","スポーツ活動助成金制度","","","","","5千円/人、5万円/団体","★☆☆☆☆","要相談","要相談","https://www.city.onomichi.hiroshima.jp/site/kyoiku/3070.html","https://www.city.onomichi.hiroshima.jp/site/kyoiku/3070.html",""
"48913","https://j-izumi.com/policy/48913/detail","サイクルサポートステーション普及促進補助金","","","","","3万円","★☆☆☆☆","要相談","要相談","https://www.town.oarai.lg.jp/wp/wp-content/uploads/2023/03/%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%99%AE%E5%8F%8A%E4%BF%83%E9%80%B2%E8%A3%9C%E5%8A%A9%E9%87%91%E4%BA%A4%E4%BB%98%E8%A6%81%E7%B6%B1%EF%BC%88PDF%EF%BC%89.pdf","https://www.town.oarai.lg.jp/cat1/koutsuu/cycling/18090/ | https://www.town.oarai.lg.jp/wp/wp-content/uploads/2023/03/%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%99%AE%E5%8F%8A%E4%BF%83%E9%80%B2%E8%A3%9C%E5%8A%A9%E9%87%91%E4%BA%A4%E4%BB%98%E8%A6%81%E7%B6%B1%EF%BC%88PDF%EF%BC%89.pdf",""
